collector_number,name,mana_cost,cmc,type_line,rarity,colors,color_identity,oracle_text,power,toughness,loyalty,keywords,set_name,released_at,scryfall_uri
1,Air Response Unit,{2}{W},3.0,Artifact — Vehicle,uncommon,W,W,"Flying, vigilance
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",3,3,,"Flying, Vigilance, Crew",Aetherdrift,2025-02-14,https://scryfall.com/card/dft/1/air-response-unit?utm_source=api
2,Alacrian Armory,{3}{W},4.0,Artifact,uncommon,W,W,"Creatures you control get +0/+1 and have vigilance.
At the beginning of combat on your turn, choose up to one target Mount or Vehicle you control. Until end of turn, that permanent becomes saddled if it's a Mount and becomes an artifact creature if it's a Vehicle.",,,,,Aetherdrift,2025-02-14,https://scryfall.com/card/dft/2/alacrian-armory?utm_source=api
3,"Basri, Tomorrow's Champion",{W},1.0,Legendary Creature — Human Knight,rare,W,W,"{W}, {T}, Exert Basri: Create a 1/1 white Cat creature token with lifelink. (An exerted creature won't untap during your next untap step.)
Cycling {2}{W} ({2}{W}, Discard this card: Draw a card.)
When you cycle this card, Cats you control gain hexproof and indestructible until end of turn.",2,1,,Cycling,Aetherdrift,2025-02-14,https://scryfall.com/card/dft/3/basri-tomorrows-champion?utm_source=api
4,Brightfield Glider,{W},1.0,Creature — Possum Mount,common,W,W,"Vigilance
Whenever this creature attacks while saddled, it gets +1/+2 and gains flying until end of turn.
Saddle 3 (Tap any number of other creatures you control with total power 3 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",1,1,,"Saddle, Vigilance",Aetherdrift,2025-02-14,https://scryfall.com/card/dft/4/brightfield-glider?utm_source=api
5,Brightfield Mustang,{3}{W},4.0,Creature — Horse Mount,common,W,W,"Whenever this creature attacks while saddled, untap it and put a +1/+1 counter on it.
Saddle 1 (Tap any number of other creatures you control with total power 1 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",3,3,,Saddle,Aetherdrift,2025-02-14,https://scryfall.com/card/dft/5/brightfield-mustang?utm_source=api
6,Broadcast Rambler,{4}{W},5.0,Artifact — Vehicle,common,W,W,"When this Vehicle enters, create a 1/1 colorless Thopter artifact creature token with flying.
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",5,4,,Crew,Aetherdrift,2025-02-14,https://scryfall.com/card/dft/6/broadcast-rambler?utm_source=api
7,Bulwark Ox,{1}{W},2.0,Creature — Ox Mount,rare,W,W,"Whenever this creature attacks while saddled, put a +1/+1 counter on target creature.
Sacrifice this creature: Creatures you control with counters on them gain hexproof and indestructible until end of turn.
Saddle 1 (Tap any number of other creatures you control with total power 1 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",2,2,,Saddle,Aetherdrift,2025-02-14,https://scryfall.com/card/dft/7/bulwark-ox?utm_source=api
8,Canyon Vaulter,{1}{W},2.0,Creature — Kor Pilot,uncommon,W,W,"Whenever this creature saddles a Mount or crews a Vehicle during your main phase, that Mount or Vehicle gains flying until end of turn.",3,1,,,Aetherdrift,2025-02-14,https://scryfall.com/card/dft/8/canyon-vaulter?utm_source=api
9,Cloudspire Captain,{2}{W},3.0,Creature — Human Pilot,uncommon,W,W,"Mounts and Vehicles you control get +1/+1.
This creature saddles Mounts and crews Vehicles as though its power were 2 greater.",2,3,,,Aetherdrift,2025-02-14,https://scryfall.com/card/dft/9/cloudspire-captain?utm_source=api
10,Collision Course,{1}{W},2.0,Sorcery,common,W,W,"Choose one —
• Collision Course deals X damage to target creature, where X is the number of permanents you control that are creatures and/or Vehicles.
• Destroy target artifact.",,,,,Aetherdrift,2025-02-14,https://scryfall.com/card/dft/10/collision-course?utm_source=api
11,Daring Mechanic,{2}{W},3.0,Creature — Human Artificer,common,W,W,{3}{W}: Put a +1/+1 counter on target Mount or Vehicle.,3,3,,,Aetherdrift,2025-02-14,https://scryfall.com/card/dft/11/daring-mechanic?utm_source=api
12,Detention Chariot,{4}{W}{W},6.0,Artifact — Vehicle,uncommon,W,W,"When this Vehicle enters, exile target artifact or creature an opponent controls until this Vehicle leaves the battlefield.
Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)
Cycling {W} ({W}, Discard this card: Draw a card.)",6,6,,"Crew, Cycling",Aetherdrift,2025-02-14,https://scryfall.com/card/dft/12/detention-chariot?utm_source=api
13,Gallant Strike,{1}{W},2.0,Instant,uncommon,W,W,"Destroy target creature with toughness 4 or greater.
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,Cycling,Aetherdrift,2025-02-14,https://scryfall.com/card/dft/13/gallant-strike?utm_source=api
14,Gloryheath Lynx,{1}{W},2.0,Creature — Cat Mount,uncommon,W,W,"Lifelink
Whenever this creature attacks while saddled, search your library for a basic Plains card, reveal it, put it into your hand, then shuffle.
Saddle 2 (Tap any number of other creatures you control with total power 2 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",2,3,,"Lifelink, Saddle",Aetherdrift,2025-02-14,https://scryfall.com/card/dft/14/gloryheath-lynx?utm_source=api
15,Guardian Sunmare,{3}{W}{W},5.0,Creature — Horse Mount,rare,W,W,"Ward {2}
Whenever this creature attacks while saddled, search your library for a nonland permanent card with mana value 3 or less, put it onto the battlefield, then shuffle.
Saddle 4",5,5,,"Saddle, Ward",Aetherdrift,2025-02-14,https://scryfall.com/card/dft/15/guardian-sunmare?utm_source=api
16,Guidelight Synergist,{3}{W},4.0,Artifact Creature — Robot Artificer,uncommon,W,W,"Flying
This creature gets +1/+0 for each artifact you control.",0,4,,Flying,Aetherdrift,2025-02-14,https://scryfall.com/card/dft/16/guidelight-synergist?utm_source=api
