collector_number,name,mana_cost,cmc,type_line,rarity,colors,color_identity,oracle_text,power,toughness,loyalty,keywords,set_name,released_at,scryfall_uri
1,Aang's Journey,{2},2.0,Sorcery — Lesson,common,,,"Kicker {2} (You may pay an additional {2} as you cast this spell.)
Search your library for a basic land card. If this spell was kicked, instead search your library for a basic land card and a Shrine card. Reveal those cards, put them into your hand, then shuffle.
You gain 2 life.",,,,Kicker,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/1/aangs-journey?utm_source=api
2,Energybending,{2},2.0,Instant — Lesson,uncommon,,,"Lands you control gain all basic land types until end of turn.
Draw a card.",,,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/2/energybending?utm_source=api
3,Zuko's Exile,{5},5.0,Instant — Lesson,common,,,"Exile target artifact, creature, or enchantment. Its controller creates a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",,,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/3/zukos-exile?utm_source=api
4,"Aang, the Last Airbender",{3}{W},4.0,Legendary Creature — Human Avatar Ally,uncommon,W,W,"Flying
When Aang enters, airbend up to one other target nonland permanent. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)
Whenever you cast a Lesson spell, Aang gains lifelink until end of turn.",3,2,,"Flying, Airbend",Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/4/aang-the-last-airbender?utm_source=api
5,Aang's Iceberg,{2}{W},3.0,Enchantment,rare,W,W,"Flash
When this enchantment enters, exile up to one other target nonland permanent until this enchantment leaves the battlefield.
Waterbend {3}: Sacrifice this enchantment. If you do, scry 2. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",,,,"Flash, Waterbend, Scry",Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/5/aangs-iceberg?utm_source=api
6,Airbender Ascension,{1}{W},2.0,Enchantment,rare,W,W,"When this enchantment enters, airbend up to one target creature.
Whenever a creature you control enters, put a quest counter on this enchantment.
At the beginning of your end step, if this enchantment has four or more quest counters on it, exile up to one target creature you control, then return it to the battlefield under its owner's control.",,,,Airbend,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/6/airbender-ascension?utm_source=api
7,Airbender's Reversal,{1}{W},2.0,Instant — Lesson,uncommon,W,W,"Choose one —
• Destroy target attacking creature.
• Airbend target creature you control. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)",,,,Airbend,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/7/airbenders-reversal?utm_source=api
8,Airbending Lesson,{2}{W},3.0,Instant — Lesson,common,W,W,"Airbend target nonland permanent. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)
Draw a card.",,,,Airbend,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/8/airbending-lesson?utm_source=api
9,"Appa, Loyal Sky Bison",{4}{W}{W},6.0,Legendary Creature — Bison Ally,uncommon,W,W,"Flying
Whenever Appa enters or attacks, choose one —
• Target creature you control gains flying until end of turn.
• Airbend another target nonland permanent you control. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)",4,4,,"Flying, Airbend",Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/9/appa-loyal-sky-bison?utm_source=api
10,"Appa, Steadfast Guardian",{2}{W}{W},4.0,Legendary Creature — Bison Ally,mythic,W,W,"Flash
Flying
When Appa enters, airbend any number of other target nonland permanents you control. (Exile them. While each one is exiled, its owner may cast it for {2} rather than its mana cost.)
Whenever you cast a spell from exile, create a 1/1 white Ally creature token.",3,4,,"Flying, Airbend, Flash",Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/10/appa-steadfast-guardian?utm_source=api
