collector_number,name,mana_cost,cmc,type_line,rarity,colors,color_identity,oracle_text,power,toughness,loyalty,keywords,set_name,released_at,scryfall_uri
1,Banishing Light,{2}{W},3.0,Enchantment,common,W,W,"When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.",,,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/1/banishing-light?utm_source=api
2,"Beza, the Bounding Spring",{2}{W}{W},4.0,Legendary Creature — Elemental Elk,mythic,W,W,"When Beza enters, create a Treasure token if an opponent controls more lands than you. You gain 4 life if an opponent has more life than you. Create two 1/1 blue Fish creature tokens if an opponent controls more creatures than you. Draw a card if an opponent has more cards in hand than you.",4,5,,Treasure,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/2/beza-the-bounding-spring?utm_source=api
3,Brave-Kin Duo,{W},1.0,Creature — Rabbit Mouse,common,W,W,"{1}, {T}: Target creature gets +1/+1 until end of turn. Activate only as a sorcery.",1,1,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/3/brave-kin-duo?utm_source=api
4,Brightblade Stoat,{1}{W},2.0,Creature — Weasel Soldier,uncommon,W,W,"First strike, lifelink",2,2,,"Lifelink, First strike",Bloomburrow,2024-08-02,https://scryfall.com/card/blb/4/brightblade-stoat?utm_source=api
5,Builder's Talent,{1}{W},2.0,Enchantment — Class,uncommon,W,W,"(Gain the next level as a sorcery to add its ability.)
When this Class enters, create a 0/4 white Wall creature token with defender.
{W}: Level 2
Whenever one or more noncreature, nonland permanents you control enter, put a +1/+1 counter on target creature you control.
{4}{W}: Level 3
When this Class becomes level 3, return target noncreature, nonland permanent card from your graveyard to the battlefield.",,,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/5/builders-talent?utm_source=api
6,Caretaker's Talent,{2}{W},3.0,Enchantment — Class,rare,W,W,"(Gain the next level as a sorcery to add its ability.)
Whenever one or more tokens you control enter, draw a card. This ability triggers only once each turn.
{W}: Level 2
When this Class becomes level 2, create a token that's a copy of target token you control.
{3}{W}: Level 3
Creature tokens you control get +2/+2.",,,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/6/caretakers-talent?utm_source=api
7,Carrot Cake,{1}{W},2.0,Artifact — Food,common,W,W,"When this artifact enters and when you sacrifice it, create a 1/1 white Rabbit creature token and scry 1. (Look at the top card of your library. You may put that card on the bottom.)
{2}, {T}, Sacrifice this artifact: You gain 3 life.",,,,Scry,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/7/carrot-cake?utm_source=api
8,Crumb and Get It,{W},1.0,Instant,common,W,W,"Gift a Food (You may promise an opponent a gift as you cast this spell. If you do, they create a Food token before its other effects. It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
Target creature you control gets +2/+2 until end of turn. If the gift was promised, that creature also gains indestructible until end of turn.",,,,"Gift, Food",Bloomburrow,2024-08-02,https://scryfall.com/card/blb/8/crumb-and-get-it?utm_source=api
9,Dawn's Truce,{1}{W},2.0,Instant,rare,W,W,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
You and permanents you control gain hexproof until end of turn. If the gift was promised, permanents you control also gain indestructible until end of turn.",,,,Gift,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/9/dawns-truce?utm_source=api
10,Dewdrop Cure,{2}{W},3.0,Sorcery,uncommon,W,W,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
Return up to two target creature cards each with mana value 2 or less from your graveyard to the battlefield. If the gift was promised, instead return up to three target creature cards each with mana value 2 or less from your graveyard to the battlefield.",,,,Gift,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/10/dewdrop-cure?utm_source=api
11,Driftgloom Coyote,{3}{W}{W},5.0,Creature — Elemental Coyote,uncommon,W,W,"When this creature enters, exile target creature an opponent controls until this creature leaves the battlefield. If that creature had power 2 or less, put a +1/+1 counter on this creature.",3,4,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/11/driftgloom-coyote?utm_source=api
12,Essence Channeler,{1}{W},2.0,Creature — Bat Cleric,rare,W,W,"As long as you've lost life this turn, this creature has flying and vigilance.
Whenever you gain life, put a +1/+1 counter on this creature.
When this creature dies, put its counters on target creature you control.",2,1,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/12/essence-channeler?utm_source=api
13,Feather of Flight,{1}{W},2.0,Enchantment — Aura,uncommon,W,W,"Flash
Enchant creature
When this Aura enters, draw a card.
Enchanted creature gets +1/+0 and has flying.",,,,"Enchant, Flash",Bloomburrow,2024-08-02,https://scryfall.com/card/blb/13/feather-of-flight?utm_source=api
14,Flowerfoot Swordmaster,{W},1.0,Creature — Mouse Soldier,uncommon,W,W,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Valiant — Whenever this creature becomes the target of a spell or ability you control for the first time each turn, Mice you control get +1/+0 until end of turn.",1,2,,"Offspring, Valiant",Bloomburrow,2024-08-02,https://scryfall.com/card/blb/14/flowerfoot-swordmaster?utm_source=api
15,Harvestrite Host,{2}{W},3.0,Creature — Rabbit Citizen,uncommon,W,W,"Whenever this creature or another Rabbit you control enters, target creature you control gets +1/+0 until end of turn. Then draw a card if this is the second time this ability has resolved this turn.",3,3,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/15/harvestrite-host?utm_source=api
16,Hop to It,{2}{W},3.0,Sorcery,uncommon,W,W,Create three 1/1 white Rabbit creature tokens.,,,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/16/hop-to-it?utm_source=api
17,Intrepid Rabbit,{2}{W},3.0,Creature — Rabbit Soldier,common,W,W,"Offspring {1} (You may pay an additional {1} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
When this creature enters, target creature you control gets +1/+1 until end of turn.",3,2,,Offspring,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/17/intrepid-rabbit?utm_source=api
18,Jackdaw Savior,{2}{W},3.0,Creature — Bird Cleric,rare,W,W,"Flying
Whenever this creature or another creature you control with flying dies, return another target creature card with lesser mana value from your graveyard to the battlefield.",3,1,,Flying,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/18/jackdaw-savior?utm_source=api
19,Jolly Gerbils,{1}{W},2.0,Creature — Hamster Citizen,uncommon,W,W,"Whenever you give a gift, draw a card.",2,3,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/19/jolly-gerbils?utm_source=api
20,Lifecreed Duo,{1}{W},2.0,Creature — Bat Bird,common,W,W,"Flying
Whenever another creature you control enters, you gain 1 life.",1,2,,Flying,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/20/lifecreed-duo?utm_source=api
21,Mabel's Mettle,{1}{W},2.0,Instant,uncommon,W,W,Target creature gets +2/+2 until end of turn. Up to one other target creature gets +1/+1 until end of turn.,,,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/21/mabels-mettle?utm_source=api
22,Mouse Trapper,{2}{W},3.0,Creature — Mouse Soldier,uncommon,W,W,"Flash
Valiant — Whenever this creature becomes the target of a spell or ability you control for the first time each turn, tap target creature an opponent controls.",3,2,,"Valiant, Flash",Bloomburrow,2024-08-02,https://scryfall.com/card/blb/22/mouse-trapper?utm_source=api
23,Nettle Guard,{1}{W},2.0,Creature — Mouse Soldier,common,W,W,"Valiant — Whenever this creature becomes the target of a spell or ability you control for the first time each turn, it gets +0/+2 until end of turn.
{1}, Sacrifice this creature: Destroy target artifact or enchantment.",3,1,,Valiant,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/23/nettle-guard?utm_source=api
24,Parting Gust,{W}{W},2.0,Instant,uncommon,W,W,"Gift a tapped Fish (You may promise an opponent a gift as you cast this spell. If you do, they create a tapped 1/1 blue Fish creature token before its other effects.)
Exile target nontoken creature. If the gift wasn't promised, return that card to the battlefield under its owner's control with a +1/+1 counter on it at the beginning of the next end step.",,,,Gift,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/24/parting-gust?utm_source=api
25,Pileated Provisioner,{4}{W},5.0,Creature — Bird Scout,common,W,W,"Flying
When this creature enters, put a +1/+1 counter on target creature you control without flying.",3,4,,Flying,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/25/pileated-provisioner?utm_source=api
26,Rabbit Response,{2}{W}{W},4.0,Instant,common,W,W,"Creatures you control get +2/+1 until end of turn. If you control a Rabbit, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)",,,,Scry,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/26/rabbit-response?utm_source=api
27,Repel Calamity,{1}{W},2.0,Instant,uncommon,W,W,Destroy target creature with power or toughness 4 or greater.,,,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/27/repel-calamity?utm_source=api
28,Salvation Swan,{3}{W},4.0,Creature — Bird Cleric,rare,W,W,"Flash
Flying
Whenever this creature or another Bird you control enters, exile up to one target creature you control without flying. Return it to the battlefield under its owner's control with a flying counter on it at the beginning of the next end step.",3,3,,"Flying, Flash",Bloomburrow,2024-08-02,https://scryfall.com/card/blb/28/salvation-swan?utm_source=api
29,Season of the Burrow,{3}{W}{W},5.0,Sorcery,mythic,W,W,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Create a 1/1 white Rabbit creature token.
{P}{P} — Exile target nonland permanent. Its controller draws a card.
{P}{P}{P} — Return target permanent card with mana value 3 or less from your graveyard to the battlefield with an indestructible counter on it.",,,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/29/season-of-the-burrow?utm_source=api
30,Seasoned Warrenguard,{W},1.0,Creature — Rabbit Warrior,uncommon,W,W,"Whenever this creature attacks while you control a token, this creature gets +2/+0 until end of turn.",1,2,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/30/seasoned-warrenguard?utm_source=api
31,Shrike Force,{2}{W},3.0,Creature — Bird Knight,uncommon,W,W,"Flying, double strike, vigilance",1,3,,"Flying, Vigilance, Double strike",Bloomburrow,2024-08-02,https://scryfall.com/card/blb/31/shrike-force?utm_source=api
32,Sonar Strike,{1}{W},2.0,Instant,common,W,W,"Sonar Strike deals 4 damage to target attacking, blocking, or tapped creature. You gain 3 life if you control a Bat.",,,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/32/sonar-strike?utm_source=api
33,Star Charter,{3}{W},4.0,Creature — Bat Cleric,uncommon,W,W,"Flying
At the beginning of your end step, if you gained or lost life this turn, look at the top four cards of your library. You may reveal a creature card with power 3 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",3,1,,Flying,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/33/star-charter?utm_source=api
34,Starfall Invocation,{3}{W}{W},5.0,Sorcery,rare,W,W,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
Destroy all creatures. If the gift was promised, return a creature card put into your graveyard this way to the battlefield under your control.",,,,Gift,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/34/starfall-invocation?utm_source=api
35,Thistledown Players,{2}{W},3.0,Creature — Mouse Bard,common,W,W,"Whenever this creature attacks, untap target nonland permanent.",3,3,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/35/thistledown-players?utm_source=api
36,Valley Questcaller,{1}{W},2.0,Creature — Rabbit Warrior,rare,W,W,"Whenever one or more other Rabbits, Bats, Birds, and/or Mice you control enter, scry 1.
Other Rabbits, Bats, Birds, and Mice you control get +1/+1.",2,3,,Scry,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/36/valley-questcaller?utm_source=api
37,Warren Elder,{1}{W},2.0,Creature — Rabbit Cleric,common,W,W,{3}{W}: Creatures you control get +1/+1 until end of turn.,2,2,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/37/warren-elder?utm_source=api
38,Warren Warleader,{2}{W}{W},4.0,Creature — Rabbit Knight,mythic,W,W,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Whenever you attack, choose one —
• Create a 1/1 white Rabbit creature token that's tapped and attacking.
• Attacking creatures you control get +1/+1 until end of turn.",4,4,,Offspring,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/38/warren-warleader?utm_source=api
39,Wax-Wane Witness,{3}{W},4.0,Creature — Bat Cleric,common,W,W,"Flying, vigilance
Whenever you gain or lose life during your turn, this creature gets +1/+0 until end of turn.",2,4,,"Flying, Vigilance",Bloomburrow,2024-08-02,https://scryfall.com/card/blb/39/wax-wane-witness?utm_source=api
40,Whiskervale Forerunner,{3}{W},4.0,Creature — Mouse Bard,rare,W,W,"Valiant — Whenever this creature becomes the target of a spell or ability you control for the first time each turn, look at the top five cards of your library. You may reveal a creature card with mana value 3 or less from among them. You may put it onto the battlefield if it's your turn. If you don't put it onto the battlefield, put it into your hand. Put the rest on the bottom of your library in a random order.",3,4,,Valiant,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/40/whiskervale-forerunner?utm_source=api
41,Azure Beastbinder,{1}{U},2.0,Creature — Rat Rogue,rare,U,U,"Vigilance
This creature can't be blocked by creatures with power 2 or greater.
Whenever this creature attacks, up to one target artifact, creature, or planeswalker an opponent controls loses all abilities until your next turn. If it's a creature, it also has base power and toughness 2/2 until your next turn.",1,3,,Vigilance,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/41/azure-beastbinder?utm_source=api
42,Bellowing Crier,{1}{U},2.0,Creature — Frog Advisor,common,U,U,"When this creature enters, draw a card, then discard a card.",2,1,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/42/bellowing-crier?utm_source=api
43,Calamitous Tide,{4}{U}{U},6.0,Sorcery,uncommon,U,U,"Return up to two target creatures to their owners' hands. Draw two cards, then discard a card.",,,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/43/calamitous-tide?utm_source=api
44,Daring Waverider,{4}{U}{U},6.0,Creature — Otter Wizard,uncommon,U,U,"When this creature enters, you may cast target instant or sorcery card with mana value 4 or less from your graveyard without paying its mana cost. If that spell would be put into your graveyard, exile it instead.",4,4,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/44/daring-waverider?utm_source=api
45,Dazzling Denial,{1}{U},2.0,Instant,common,U,U,"Counter target spell unless its controller pays {2}. If you control a Bird, counter that spell unless its controller pays {4} instead.",,,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/45/dazzling-denial?utm_source=api
46,Dire Downdraft,{3}{U},4.0,Instant,common,U,U,"This spell costs {1} less to cast if it targets an attacking or tapped creature.
Target creature's owner puts it on their choice of the top or bottom of their library.",,,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/46/dire-downdraft?utm_source=api
47,Dour Port-Mage,{1}{U},2.0,Creature — Frog Wizard,rare,U,U,"Whenever one or more other creatures you control leave the battlefield without dying, draw a card.
{1}{U}, {T}: Return another target creature you control to its owner's hand.",1,3,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/47/dour-port-mage?utm_source=api
48,Eddymurk Crab,{5}{U}{U},7.0,Creature — Elemental Crab,uncommon,U,U,"Flash
This spell costs {1} less to cast for each instant and sorcery card in your graveyard.
This creature enters tapped if it's not your turn.
When this creature enters, tap up to two target creatures.",5,5,,Flash,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/48/eddymurk-crab?utm_source=api
49,"Eluge, the Shoreless Sea",{1}{U}{U}{U},4.0,Legendary Creature — Elemental Fish,mythic,U,U,"Eluge's power and toughness are each equal to the number of Islands you control.
Whenever Eluge enters or attacks, put a flood counter on target land. It's an Island in addition to its other types for as long as it has a flood counter on it.
The first instant or sorcery spell you cast each turn costs {U} (or {1}) less to cast for each land you control with a flood counter on it.",*,*,,,Bloomburrow,2024-08-02,https://scryfall.com/card/blb/49/eluge-the-shoreless-sea?utm_source=api
50,Finch Formation,{2}{U},3.0,Creature — Bird Scout,common,U,U,"Offspring {3} (You may pay an additional {3} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Flying
When this creature enters, target creature you control gains flying until end of turn.",2,2,,"Flying, Offspring",Bloomburrow,2024-08-02,https://scryfall.com/card/blb/50/finch-formation?utm_source=api
