collector_number,name,mana_cost,cmc,type_line,rarity,colors,color_identity,oracle_text,power,toughness,loyalty,keywords,set_name,released_at,scryfall_uri
1,Acrobatic Cheerleader,{1}{W},2.0,Creature — Human Survivor,common,W,W,"Survival — At the beginning of your second main phase, if this creature is tapped, put a flying counter on it. This ability triggers only once.",2,2,,Survival,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/1/acrobatic-cheerleader?utm_source=api
2,Cult Healer,{2}{W},3.0,Creature — Human Doctor,common,W,W,"Eerie — Whenever an enchantment you control enters and whenever you fully unlock a Room, this creature gains lifelink until end of turn.",3,3,,Eerie,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/2/cult-healer?utm_source=api
3,Dazzling Theater // Prop Room,{3}{W} // {2}{W},7.0,Enchantment — Room // Enchantment — Room,rare,W,W,,,,,,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/3/dazzling-theater-prop-room?utm_source=api
4,Dollmaker's Shop // Porcelain Gallery,{1}{W} // {4}{W}{W},8.0,Enchantment — Room // Enchantment — Room,mythic,W,W,,,,,,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/4/dollmakers-shop-porcelain-gallery?utm_source=api
5,Emerge from the Cocoon,{4}{W},5.0,Sorcery,common,W,W,Return target creature card from your graveyard to the battlefield. You gain 3 life.,,,,,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/5/emerge-from-the-cocoon?utm_source=api
6,Enduring Innocence,{1}{W}{W},3.0,Enchantment Creature — Sheep Glimmer,rare,W,W,"Lifelink
Whenever one or more other creatures you control with power 2 or less enter, draw a card. This ability triggers only once each turn.
When Enduring Innocence dies, if it was a creature, return it to the battlefield under its owner's control. It's an enchantment. (It's not a creature.)",2,1,,Lifelink,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/6/enduring-innocence?utm_source=api
7,Ethereal Armor,{W},1.0,Enchantment — Aura,uncommon,W,W,"Enchant creature
Enchanted creature gets +1/+1 for each enchantment you control and has first strike.",,,,Enchant,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/7/ethereal-armor?utm_source=api
8,Exorcise,{1}{W},2.0,Sorcery,uncommon,W,W,"Exile target artifact, enchantment, or creature with power 4 or greater.",,,,,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/8/exorcise?utm_source=api
9,Fear of Abduction,{4}{W}{W},6.0,Enchantment Creature — Nightmare,uncommon,W,W,"As an additional cost to cast this spell, exile a creature you control.
Flying
When this creature enters, exile target creature an opponent controls.
When this creature leaves the battlefield, put each card exiled with it into its owner's hand.",5,5,,Flying,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/9/fear-of-abduction?utm_source=api
10,Fear of Immobility,{4}{W},5.0,Enchantment Creature — Nightmare,common,W,W,"When this creature enters, tap up to one target creature. If an opponent controls that creature, put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",4,4,,,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/10/fear-of-immobility?utm_source=api
11,Fear of Surveillance,{1}{W},2.0,Enchantment Creature — Nightmare,common,W,W,"Vigilance
Whenever this creature attacks, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",2,2,,"Surveil, Vigilance",Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/11/fear-of-surveillance?utm_source=api
12,Friendly Ghost,{3}{W},4.0,Creature — Spirit,common,W,W,"Flying
When this creature enters, target creature gets +2/+4 until end of turn.",2,4,,Flying,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/12/friendly-ghost?utm_source=api
13,Ghostly Dancers,{3}{W}{W},5.0,Creature — Spirit,rare,W,W,"Flying
When this creature enters, return an enchantment card from your graveyard to your hand or unlock a locked door of a Room you control.
Eerie — Whenever an enchantment you control enters and whenever you fully unlock a Room, create a 3/1 white Spirit creature token with flying.",2,5,,"Flying, Eerie",Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/13/ghostly-dancers?utm_source=api
14,Glimmer Seeker,{2}{W},3.0,Creature — Human Survivor,uncommon,W,W,"Survival — At the beginning of your second main phase, if this creature is tapped, draw a card if you control a Glimmer creature. If you don't control a Glimmer creature, create a 1/1 white Glimmer enchantment creature token.",3,3,,Survival,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/14/glimmer-seeker?utm_source=api
15,Grand Entryway // Elegant Rotunda,{1}{W} // {2}{W},5.0,Enchantment — Room // Enchantment — Room,common,W,W,,,,,,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/15/grand-entryway-elegant-rotunda?utm_source=api
16,Hardened Escort,{2}{W},3.0,Creature — Human Soldier,common,W,W,"Whenever this creature attacks, another target creature you control gets +1/+0 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",2,4,,,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/16/hardened-escort?utm_source=api
17,Jump Scare,{W},1.0,Instant,common,W,W,"Until end of turn, target creature gets +2/+2, gains flying, and becomes a Horror enchantment creature in addition to its other types.",,,,,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/17/jump-scare?utm_source=api
18,Leyline of Hope,{2}{W}{W},4.0,Enchantment,rare,W,W,"If this card is in your opening hand, you may begin the game with it on the battlefield.
If you would gain life, you gain that much life plus 1 instead.
As long as you have at least 7 life more than your starting life total, creatures you control get +2/+2.",,,,,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/18/leyline-of-hope?utm_source=api
19,Lionheart Glimmer,{3}{W}{W},5.0,Enchantment Creature — Cat Glimmer,uncommon,W,W,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Whenever you attack, creatures you control get +1/+1 until end of turn.",2,5,,Ward,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/19/lionheart-glimmer?utm_source=api
20,Living Phone,{2}{W},3.0,Artifact Creature — Toy,common,W,W,"When this creature dies, look at the top five cards of your library. You may reveal a creature card with power 2 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",2,1,,,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/20/living-phone?utm_source=api
21,Optimistic Scavenger,{W},1.0,Creature — Human Scout,uncommon,W,W,"Eerie — Whenever an enchantment you control enters and whenever you fully unlock a Room, put a +1/+1 counter on target creature.",1,1,,Eerie,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/21/optimistic-scavenger?utm_source=api
22,Orphans of the Wheat,{1}{W},2.0,Creature — Human,uncommon,W,W,"Whenever this creature attacks, tap any number of untapped creatures you control. This creature gets +1/+1 until end of turn for each creature tapped this way.",2,1,,,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/22/orphans-of-the-wheat?utm_source=api
23,Overlord of the Mistmoors,{5}{W}{W},7.0,Enchantment Creature — Avatar Horror,mythic,W,W,"Impending 4—{2}{W}{W} (If you cast this spell for its impending cost, it enters with four time counters and isn't a creature until the last is removed. At the beginning of your end step, remove a time counter from it.)
Whenever this permanent enters or attacks, create two 2/1 white Insect creature tokens with flying.",6,6,,Impending,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/23/overlord-of-the-mistmoors?utm_source=api
24,Patched Plaything,{2}{W},3.0,Artifact Creature — Toy,uncommon,W,W,"Double strike
This creature enters with two -1/-1 counters on it if you cast it from your hand.",4,3,,Double strike,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/24/patched-plaything?utm_source=api
25,Possessed Goat,{W},1.0,Creature — Goat,common,W,W,"{3}, Discard a card: Put three +1/+1 counters on this creature and it becomes a black Demon in addition to its other colors and types. Activate only once.",1,1,,,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/25/possessed-goat?utm_source=api
26,Reluctant Role Model,{1}{W},2.0,Creature — Human Survivor,rare,W,W,"Survival — At the beginning of your second main phase, if this creature is tapped, put a flying, lifelink, or +1/+1 counter on it.
Whenever this creature or another creature you control dies, if it had counters on it, put those counters on up to one target creature.",2,2,,"Lifelink, Survival",Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/26/reluctant-role-model?utm_source=api
27,Savior of the Small,{3}{W},4.0,Creature — Kor Survivor,uncommon,W,W,"Survival — At the beginning of your second main phase, if this creature is tapped, return target creature card with mana value 3 or less from your graveyard to your hand.",3,4,,Survival,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/27/savior-of-the-small?utm_source=api
28,Seized from Slumber,{4}{W},5.0,Instant,common,W,W,"This spell costs {3} less to cast if it targets a tapped creature.
Destroy target creature.",,,,,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/28/seized-from-slumber?utm_source=api
29,Shardmage's Rescue,{W},1.0,Enchantment — Aura,uncommon,W,W,"Flash
Enchant creature you control
As long as this Aura entered this turn, enchanted creature has hexproof.
Enchanted creature gets +1/+1.",,,,"Enchant, Flash",Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/29/shardmages-rescue?utm_source=api
30,Sheltered by Ghosts,{1}{W},2.0,Enchantment — Aura,uncommon,W,W,"Enchant creature you control
When this Aura enters, exile target nonland permanent an opponent controls until this Aura leaves the battlefield.
Enchanted creature gets +1/+0 and has lifelink and ward {2}.",,,,Enchant,Duskmourn: House of Horror,2024-09-27,https://scryfall.com/card/dsk/30/sheltered-by-ghosts?utm_source=api
