collector_number,name,mana_cost,cmc,type_line,rarity,colors,color_identity,oracle_text,power,toughness,loyalty,keywords,set_name,released_at,scryfall_uri
1,Changeling Wayfinder,{3},3.0,Creature — Shapeshifter,common,,,"Changeling (This card is every creature type.)
When this creature enters, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle.",1,2,,Changeling,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/1/changeling-wayfinder?utm_source=api
2,Rooftop Percher,{5},5.0,Creature — Shapeshifter,common,,,"Changeling (This card is every creature type.)
Flying
When this creature enters, exile up to two target cards from graveyards. You gain 3 life.",3,3,,"Changeling, Flying",Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/2/rooftop-percher?utm_source=api
3,Adept Watershaper,{2}{W},3.0,Creature — Merfolk Cleric,rare,W,W,Other tapped creatures you control have indestructible.,3,4,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/3/adept-watershaper?utm_source=api
4,"Ajani, Outland Chaperone",{1}{W}{W},3.0,Legendary Planeswalker — Ajani,mythic,W,W,"+1: Create a 1/1 green and white Kithkin creature token.
−2: Ajani deals 4 damage to target tapped creature.
−8: Look at the top X cards of your library, where X is your life total. You may put any number of nonland permanent cards with mana value 3 or less from among them onto the battlefield. Then shuffle.",,,3,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/4/ajani-outland-chaperone?utm_source=api
5,Appeal to Eirdu,{3}{W},4.0,Instant,common,W,W,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
One or two target creatures each get +2/+1 until end of turn.",,,,Convoke,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/5/appeal-to-eirdu?utm_source=api
6,Bark of Doran,{1}{W},2.0,Artifact — Equipment,uncommon,W,W,"Equipped creature gets +0/+1.
As long as equipped creature's toughness is greater than its power, it assigns combat damage equal to its toughness rather than its power.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",,,,Equip,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/6/bark-of-doran?utm_source=api
7,"Brigid, Clachan's Heart // Brigid, Doun's Mind",,3.0,Legendary Creature — Kithkin Warrior // Legendary Creature — Kithkin Soldier,rare,,"G, W",,,,,Transform,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/7/brigid-clachans-heart-brigid-douns-mind?utm_source=api
8,Burdened Stoneback,{1}{W},2.0,Creature — Giant Warrior,uncommon,W,W,"This creature enters with two -1/-1 counters on it.
{1}{W}, Remove a counter from this creature: Target creature gains indestructible until end of turn. Activate only as a sorcery. (Damage and effects that say ""destroy"" don't destroy it. If its toughness is 0 or less, it still dies.)",4,4,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/8/burdened-stoneback?utm_source=api
9,Champion of the Clachan,{3}{W},4.0,Creature — Kithkin Knight,rare,W,W,"Flash
As an additional cost to cast this spell, behold a Kithkin and exile it. (Exile a Kithkin you control or a Kithkin card from your hand.)
Other Kithkin you control get +1/+1.
When this creature leaves the battlefield, return the exiled card to its owner's hand.",4,5,,"Behold, Flash",Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/9/champion-of-the-clachan?utm_source=api
10,Clachan Festival,{2}{W},3.0,Kindred Enchantment — Kithkin,uncommon,W,W,"When this enchantment enters, create two 1/1 green and white Kithkin creature tokens.
{4}{W}: Create a 1/1 green and white Kithkin creature token.",,,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/10/clachan-festival?utm_source=api
