collector_number,name,mana_cost,cmc,type_line,rarity,colors,color_identity,oracle_text,power,toughness,loyalty,keywords,set_name,released_at,scryfall_uri
1,Action News Crew,{1}{W},2.0,Creature — Human Citizen,common,W,W,"Vigilance
Channel — {6}, Discard this card: Put a +1/+1 counter on each creature you control. Draw a card.",2,2,,"Vigilance, Channel",Teenage Mutant Ninja Turtles,2026-03-06,https://scryfall.com/card/tmt/1/action-news-crew?utm_source=api
2,"Agent Bishop, Man in Black",{2}{W},3.0,Legendary Creature — Human Soldier,rare,W,W,"At the beginning of combat on your turn, put a +1/+1 counter on each of up to two target creatures.",1,2,,,Teenage Mutant Ninja Turtles,2026-03-06,https://scryfall.com/card/tmt/2/agent-bishop-man-in-black?utm_source=api
3,"April O'Neil, Kunoichi Trainee",{1}{W},2.0,Legendary Creature — Human Ninja,common,W,W,"When April O'Neil enters, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)
April O'Neil can't be blocked by creatures with power 3 or greater.",2,2,,Scry,Teenage Mutant Ninja Turtles,2026-03-06,https://scryfall.com/card/tmt/3/april-oneil-kunoichi-trainee?utm_source=api
4,Dimensional Exile,{1}{W},2.0,Enchantment — Aura,uncommon,W,W,"Enchant basic land you control
When this Aura enters, exile target creature an opponent controls until this Aura leaves the battlefield.",,,,Enchant,Teenage Mutant Ninja Turtles,2026-03-06,https://scryfall.com/card/tmt/4/dimensional-exile?utm_source=api
5,East Wind Avatar,{3}{W},4.0,Creature — Bird Spirit Avatar,common,W,W,"Flying, vigilance
Alliance — Whenever another creature you control enters, this creature gets +1/+0 until end of turn.",2,4,,"Flying, Vigilance, Alliance",Teenage Mutant Ninja Turtles,2026-03-06,https://scryfall.com/card/tmt/5/east-wind-avatar?utm_source=api
6,Featherbrained Filcher,{W},1.0,Creature — Bird Mutant,uncommon,W,W,"Flying
When this creature leaves the battlefield, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",0,2,,"Flying, Food",Teenage Mutant Ninja Turtles,2026-03-06,https://scryfall.com/card/tmt/6/featherbrained-filcher?utm_source=api
7,Grounded for Life,{4}{W},5.0,Instant,common,W,W,"This spell costs {3} less to cast if it targets a tapped creature.
Destroy target creature.",,,,,Teenage Mutant Ninja Turtles,2026-03-06,https://scryfall.com/card/tmt/7/grounded-for-life?utm_source=api
8,Hamato Guardian Stance,{W},1.0,Instant,common,W,W,Target creature gets +1/+3 and gains flying until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom.),,,,Scry,Teenage Mutant Ninja Turtles,2026-03-06,https://scryfall.com/card/tmt/8/hamato-guardian-stance?utm_source=api
9,High-Flying Ace,{2}{W},3.0,Creature — Bird Mutant,common,W,W,"Flying
{3}{W}: Target creature without flying gains flying until end of turn. Activate only as a sorcery.",2,3,,Flying,Teenage Mutant Ninja Turtles,2026-03-06,https://scryfall.com/card/tmt/9/high-flying-ace?utm_source=api
10,"Jennika, Bad Apple Big Sister",{4}{W},5.0,Legendary Creature — Mutant Ninja Turtle,common,W,W,"When Jennika enters, create a 2/2 red Mutant creature token.
Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)",3,3,,"Plainscycling, Landcycling, Typecycling, Cycling",Teenage Mutant Ninja Turtles,2026-03-06,https://scryfall.com/card/tmt/10/jennika-bad-apple-big-sister?utm_source=api
