collector_number,name,mana_cost,cmc,type_line,rarity,colors,color_identity,oracle_text,power,toughness,loyalty,keywords,set_name,released_at,scryfall_uri
1,"Agent 13, Sharon Carter",{2}{W},3.0,Legendary Creature — Human Spy Hero,uncommon,W,W,"Whenever a creature you control attacks alone, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",3,2,,Investigate,Marvel Super Heroes,2026-06-26,https://scryfall.com/card/msh/1/agent-13-sharon-carter?utm_source=api
2,Agent Maria Hill,{W},1.0,Legendary Creature — Human Spy Hero,uncommon,W,W,"Whenever Agent Maria Hill becomes tapped to pay a teamwork cost, put a +1/+1 counter on her and draw a card.",2,1,,,Marvel Super Heroes,2026-06-26,https://scryfall.com/card/msh/2/agent-maria-hill?utm_source=api
3,Agent of Atlas,{1}{W},2.0,Creature — Human Spy Hero,common,W,W,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",2,2,,Prowess,Marvel Super Heroes,2026-06-26,https://scryfall.com/card/msh/3/agent-of-atlas?utm_source=api
4,Agent Phil Coulson,{1}{W},2.0,Legendary Creature — Human Spy Hero,rare,W,W,"Vigilance
{T}: Put a +1/+1 counter on each other Hero you control.",2,2,,Vigilance,Marvel Super Heroes,2026-06-26,https://scryfall.com/card/msh/4/agent-phil-coulson?utm_source=api
5,Agents of S.H.I.E.L.D.,{2}{W},3.0,Creature — Human Spy Hero,common,W,W,"Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.",2,4,,,Marvel Super Heroes,2026-06-26,https://scryfall.com/card/msh/5/agents-of-shield?utm_source=api
6,Avengers Assemble!,{4}{W},5.0,Enchantment,mythic,W,W,"Flash
Heroes you control get +2/+2.
At the beginning of each end step, if you attacked with a Hero this turn or a Hero entered the battlefield under your control this turn, draw a card.",,,,Flash,Marvel Super Heroes,2026-06-26,https://scryfall.com/card/msh/6/avengers-assemble!?utm_source=api
7,Borough Backup,{4}{W},5.0,Sorcery,common,W,W,"Create two 3/2 white Hero creature tokens with vigilance.
Basic landcycling {2} ({2}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)",,,,"Landcycling, Basic landcycling, Typecycling, Cycling",Marvel Super Heroes,2026-06-26,https://scryfall.com/card/msh/7/borough-backup?utm_source=api
8,Brave Brawler,{1}{W},2.0,Creature — Human Warrior Hero,common,W,W,"Lifelink
Power-up — {4}{W}: Put two +1/+1 counters on this creature. (Activate each power-up ability only once. Reduce the cost by its mana cost if it entered this turn.)",2,1,,"Power-up, Lifelink",Marvel Super Heroes,2026-06-26,https://scryfall.com/card/msh/8/brave-brawler?utm_source=api
9,"Captain America, Super-Soldier",{1}{W}{W},3.0,Legendary Creature — Human Soldier Hero,mythic,W,W,"First strike
Captain America enters with a shield counter on him. (If he would be dealt damage or destroyed, remove a shield counter from him instead.)
As long as Captain America has a shield counter on him, you and other Heroes you control have hexproof.",3,2,,First strike,Marvel Super Heroes,2026-06-26,https://scryfall.com/card/msh/9/captain-america-super-soldier?utm_source=api
10,"Captain America, Wings of Freedom",{2}{W},3.0,Legendary Creature — Human Soldier Hero,rare,W,W,"Flying, first strike, ward {1}
Whenever Captain America attacks, each other Hero you control gets +X/+X until end of turn, where X is Captain America's toughness.",3,1,,"Flying, First strike, Ward",Marvel Super Heroes,2026-06-26,https://scryfall.com/card/msh/10/captain-america-wings-of-freedom?utm_source=api
11,"Captain Marvel, Earth's Protector",{3}{W}{W},5.0,Legendary Creature — Human Kree Hero,mythic,W,W,"Flash
Flying, lifelink
Power-up — {5}{W}{W}: Put a +1/+1 counter and an indestructible counter on Captain Marvel. (Activate each power-up ability only once. Reduce the cost by her mana cost if she entered this turn.)",5,4,,"Flying, Power-up, Lifelink, Flash",Marvel Super Heroes,2026-06-26,https://scryfall.com/card/msh/11/captain-marvel-earths-protector?utm_source=api
12,"Captain Mar-Vell, Space-Born",{4}{W},5.0,Legendary Creature — Kree Soldier Hero,uncommon,W,W,"Flying, vigilance
Cosmic Awareness — As long as an opponent has cast a spell this turn, you may cast spells as though they had flash.",4,4,,"Flying, Vigilance",Marvel Super Heroes,2026-06-26,https://scryfall.com/card/msh/12/captain-mar-vell-space-born?utm_source=api
13,"Colleen Wing, Street Samurai",{1}{W},2.0,Legendary Creature — Human Samurai Hero,uncommon,W,W,"Whenever you cast a spell that targets a creature you control, put a +1/+1 counter on Colleen Wing. Scry 1. (Look at the top card of your library. You may put that card on the bottom.)",2,2,,Scry,Marvel Super Heroes,2026-06-26,https://scryfall.com/card/msh/13/colleen-wing-street-samurai?utm_source=api
14,Crowd of True Believers,{W},1.0,Creature — Human Citizen,common,W,W,{T}: Target creature you control that's attacking alone gets +1/+0 until end of turn. You gain 1 life.,1,2,,,Marvel Super Heroes,2026-06-26,https://scryfall.com/card/msh/14/crowd-of-true-believers?utm_source=api
15,Helicarrier Strike,{W},1.0,Instant,common,W,W,"Teamwork 2 (As an additional cost to cast this spell, you may tap any number of creatures you control with total power 2 or more.)
Helicarrier Strike deals 2 damage to target attacking or blocking creature. If this spell was cast using teamwork, it deals 4 damage to that creature instead.",,,,Teamwork,Marvel Super Heroes,2026-06-26,https://scryfall.com/card/msh/15/helicarrier-strike?utm_source=api
