collector_number,name,mana_cost,cmc,type_line,rarity,colors,color_identity,oracle_text,power,toughness,loyalty,keywords,set_name,released_at,scryfall_uri
1,The Dawning Archaic,{10},10.0,Legendary Creature — Avatar,mythic,,,"This spell costs {1} less to cast for each instant and sorcery card in your graveyard.
Reach
Whenever The Dawning Archaic attacks, you may cast target instant or sorcery card from your graveyard without paying its mana cost. If that spell would be put into your graveyard, exile it instead.",7,7,,Reach,Secrets of Strixhaven,2026-04-24,https://scryfall.com/card/sos/1/the-dawning-archaic?utm_source=api
2,Rancorous Archaic,{5},5.0,Creature — Avatar,common,,,"Trample, reach
Converge — This creature enters with a +1/+1 counter on it for each color of mana spent to cast it.",2,2,,"Reach, Converge, Trample",Secrets of Strixhaven,2026-04-24,https://scryfall.com/card/sos/2/rancorous-archaic?utm_source=api
3,Sundering Archaic,{6},6.0,Creature — Avatar,uncommon,,,"Converge — When this creature enters, exile target nonland permanent an opponent controls with mana value less than or equal to the number of colors of mana spent to cast this creature.
{2}: Put target card from a graveyard on the bottom of its owner's library.",3,3,,Converge,Secrets of Strixhaven,2026-04-24,https://scryfall.com/card/sos/3/sundering-archaic?utm_source=api
4,Together as One,{6},6.0,Sorcery,rare,,,"Converge — Target player draws X cards, Together as One deals X damage to any target, and you gain X life, where X is the number of colors of mana spent to cast this spell.",,,,Converge,Secrets of Strixhaven,2026-04-24,https://scryfall.com/card/sos/4/together-as-one?utm_source=api
5,Transcendent Archaic,{7},7.0,Creature — Avatar,uncommon,,,"Vigilance
Converge — When this creature enters, you may draw X cards, where X is the number of colors of mana spent to cast this spell. If you draw one or more cards this way, discard two cards.",6,6,,"Vigilance, Converge",Secrets of Strixhaven,2026-04-24,https://scryfall.com/card/sos/5/transcendent-archaic?utm_source=api
6,Ajani's Response,{4}{W},5.0,Instant,common,W,W,"This spell costs {3} less to cast if it targets a tapped creature.
Destroy target creature.",,,,,Secrets of Strixhaven,2026-04-24,https://scryfall.com/card/sos/6/ajanis-response?utm_source=api
7,Antiquities on the Loose,{1}{W}{W},3.0,Sorcery,rare,W,W,"Create two 2/2 red and white Spirit creature tokens. Then if this spell was cast from anywhere other than your hand, put a +1/+1 counter on each Spirit you control.
Flashback {4}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,Flashback,Secrets of Strixhaven,2026-04-24,https://scryfall.com/card/sos/7/antiquities-on-the-loose?utm_source=api
8,Ascendant Dustspeaker,{4}{W},5.0,Creature — Orc Cleric,common,W,W,"Flying
When this creature enters, put a +1/+1 counter on another target creature you control.
At the beginning of combat on your turn, exile up to one target card from a graveyard.",3,4,,Flying,Secrets of Strixhaven,2026-04-24,https://scryfall.com/card/sos/8/ascendant-dustspeaker?utm_source=api
9,Daydream,{W},1.0,Sorcery,uncommon,W,W,"Exile target creature you control, then return that card to the battlefield under its owner's control with a +1/+1 counter on it.
Flashback {2}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,Flashback,Secrets of Strixhaven,2026-04-24,https://scryfall.com/card/sos/9/daydream?utm_source=api
10,Dig Site Inventory,{W},1.0,Sorcery,common,W,W,"Put a +1/+1 counter on target creature you control. It gains vigilance until end of turn.
Flashback {W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,Flashback,Secrets of Strixhaven,2026-04-24,https://scryfall.com/card/sos/10/dig-site-inventory?utm_source=api
11,Eager Glyphmage,{3}{W},4.0,Creature — Cat Cleric,common,W,W,"When this creature enters, create a 1/1 white and black Inkling creature token with flying.",3,3,,,Secrets of Strixhaven,2026-04-24,https://scryfall.com/card/sos/11/eager-glyphmage?utm_source=api
12,Elite Interceptor // Rejoinder,{W} // {1}{W},1.0,Creature — Human Wizard // Sorcery,common,W,W,,1,2,,Prepared,Secrets of Strixhaven,2026-04-24,https://scryfall.com/card/sos/12/elite-interceptor-rejoinder?utm_source=api
13,Emeritus of Truce // Swords to Plowshares,{1}{W}{W} // {W},3.0,Creature — Cat Cleric // Instant,mythic,W,W,,3,3,,Prepared,Secrets of Strixhaven,2026-04-24,https://scryfall.com/card/sos/13/emeritus-of-truce-swords-to-plowshares?utm_source=api
