collector_number,name,mana_cost,cmc,type_line,rarity,colors,color_identity,oracle_text,power,toughness,loyalty,keywords,set_name,released_at,scryfall_uri
1,Spectacular Spider-Man,{1}{W},2.0,Legendary Creature — Spider Human Hero,rare,W,W,"Flash
{1}: Spectacular Spider-Man gains flying until end of turn.
{1}, Sacrifice Spectacular Spider-Man: Creatures you control gain hexproof and indestructible until end of turn.",3,2,,Flash,Through the Omenpaths,2025-09-23,https://scryfall.com/card/om1/1/spectacular-spider-man?utm_source=api
2,Web-Shooters,{1}{W},2.0,Artifact — Equipment,uncommon,W,W,"Equipped creature gets +1/+1 and has reach and ""Whenever this creature attacks, tap target creature an opponent controls.""
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",,,,Equip,Through the Omenpaths,2025-09-23,https://scryfall.com/card/om1/2/web-shooters?utm_source=api
3,"Flash Thompson, Spider-Fan",{1}{W},2.0,Legendary Creature — Human Citizen,uncommon,W,W,"Flash
When Flash Thompson enters, choose one or both —
• Heckle — Tap target creature.
• Hero Worship — Untap target creature.",2,2,,Flash,Through the Omenpaths,2025-09-23,https://scryfall.com/card/om1/3/flash-thompson-spider-fan?utm_source=api
4,With Great Power . . .,{3}{W},4.0,Enchantment — Aura,rare,W,W,"Enchant creature you control
Enchanted creature gets +2/+2 for each Aura and Equipment attached to it.
All damage that would be dealt to you is dealt to enchanted creature instead.",,,,Enchant,Through the Omenpaths,2025-09-23,https://scryfall.com/card/om1/4/with-great-power-?utm_source=api
5,City Pigeon,{W},1.0,Creature — Bird,common,W,W,"Flying
When this creature leaves the battlefield, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",1,1,,"Flying, Food",Through the Omenpaths,2025-09-23,https://scryfall.com/card/om1/5/city-pigeon?utm_source=api
6,Rent Is Due,{W},1.0,Enchantment,rare,W,W,"At the beginning of your end step, you may tap two untapped creatures and/or Treasures you control. If you do, draw a card. Otherwise, sacrifice this enchantment.",,,,,Through the Omenpaths,2025-09-23,https://scryfall.com/card/om1/6/rent-is-due?utm_source=api
7,Costume Closet,{1}{W},2.0,Artifact,uncommon,W,W,"This artifact enters with two +1/+1 counters on it.
{T}: Move a +1/+1 counter from this artifact onto target creature you control. Activate only as a sorcery.
Whenever a modified creature you control leaves the battlefield, put a +1/+1 counter on this artifact. (Equipment, Auras you control, and counters are modifications.)",,,,,Through the Omenpaths,2025-09-23,https://scryfall.com/card/om1/7/costume-closet?utm_source=api
8,Selfless Police Captain,{1}{W},2.0,Creature — Human Detective,common,W,W,"This creature enters with a +1/+1 counter on it.
When this creature leaves the battlefield, put its +1/+1 counters on target creature you control.",1,1,,,Through the Omenpaths,2025-09-23,https://scryfall.com/card/om1/8/selfless-police-captain?utm_source=api
9,"Spider-Man, Web-Slinger",{2}{W},3.0,Legendary Creature — Spider Human Hero,common,W,W,Web-slinging {W} (You may cast this spell for {W} if you also return a tapped creature you control to its owner's hand.),3,3,,Web-slinging,Through the Omenpaths,2025-09-23,https://scryfall.com/card/om1/9/spider-man-web-slinger?utm_source=api
10,"Starling, Aerial Ally",{4}{W},5.0,Legendary Creature — Human Hero,common,W,W,"Flying
When Starling enters, another target creature you control gains flying until end of turn.",3,4,,Flying,Through the Omenpaths,2025-09-23,https://scryfall.com/card/om1/10/starling-aerial-ally?utm_source=api
11,Wild Pack Squad,{2}{W},3.0,Creature — Human Mercenary,common,W,W,"At the beginning of combat on your turn, up to one target creature gains first strike and vigilance until end of turn.",2,3,,,Through the Omenpaths,2025-09-23,https://scryfall.com/card/om1/11/wild-pack-squad?utm_source=api
12,"Silver Sable, Mercenary Leader",{2}{W},3.0,Legendary Creature — Human Mercenary Hero,uncommon,W,W,"When Silver Sable enters, put a +1/+1 counter on another target creature.
Whenever Silver Sable attacks, target modified creature you control gains lifelink until end of turn. (Equipment, Auras you control, and counters are modifications.)",2,3,,,Through the Omenpaths,2025-09-23,https://scryfall.com/card/om1/12/silver-sable-mercenary-leader?utm_source=api
13,Thwip!,{W},1.0,Instant,common,W,W,"Target creature gets +2/+2 and gains flying until end of turn. If it's a Spider, you gain 2 life.",,,,,Through the Omenpaths,2025-09-23,https://scryfall.com/card/om1/13/thwip!?utm_source=api
14,Origin of Spider-Man,{1}{W},2.0,Enchantment — Saga,rare,W,W,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Create a 2/1 green Spider creature token with reach.
II — Put a +1/+1 counter on target creature you control. It becomes a legendary Spider Hero in addition to its other types.
III — Target creature you control gains double strike until end of turn.",,,,,Through the Omenpaths,2025-09-23,https://scryfall.com/card/om1/14/origin-of-spider-man?utm_source=api
15,Web Up,{2}{W},3.0,Enchantment,common,W,W,"When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.",,,,,Through the Omenpaths,2025-09-23,https://scryfall.com/card/om1/15/web-up?utm_source=api
